RUN No.,Avg ROT ( °C),Catalyst,STM.(% of feed),Feed,Mass balance (%),Cat/Oil,Conversion (%),H2,C1,C2,C2=,C3,C3=,iC4,nC4,t2C4=,1C4=,iC4=,c2C4=,"1,3-BD",C4=(Liq.),Total Gas,Gasoline,LCO,HCO,Coke,H2-C2 (dry gas),C3-C4 (LPG),C2=-C4= (Light olefins),C3=+C4=,C4= (Butenes),C2=/C2,C3=/C3,C4=/C4,iC4=/C4=,iC4=/iC4,"Res Time based on exit cond, (second)"
2295-PP-08,562.2,CAT-5,23.73417722,VGO2,95.72803353,21.89303797,76.12515369,0.052247509,0.900968405,0.57789241,2.914896426,1.109865279,17.42119247,3.984858306,0.585844062,3.4413463,2.569354076,5.73016464,2.72672748,0.106711563,,42.12206893,33.3533475,13.59894886,10.27589745,0.64973726,4.44600475,37.67606418,34.91039296,31.99549653,14.57430406,5.404298896,16.44413372,3.306733162,0.393169006,1.43798454,0.320775209
2295-PP-09,561.8,CAT-5,23.88535032,VGO2,96.36092259,26.42117834,74.28140527,0.053423531,1.027024998,0.635382696,3.079727287,1.221175389,17.30738756,4.120918204,0.608677411,3.321194306,2.478310472,5.565029225,2.641724715,0.122331183,,42.18230698,31.05405764,14.64531089,11.07328384,1.045040654,4.795558512,37.38674846,34.51570475,31.43597746,14.1285899,5.19326042,14.84762061,3.097912,0.393884263,1.350434284,0.328542369
2295-PP-14,562.6,CAT-6,25,VGO2,97.66593382,19.22966667,74.44349424,0.076019572,1.523631688,0.951422643,2.460644016,0.738751383,14.58141705,2.89065228,0.349843321,3.355347451,2.54955329,5.597930732,2.665911864,0.239936974,,37.98106227,35.53826024,13.81580333,11.74070243,0.92417174,5.011717919,32.96934435,31.45074138,28.99009736,14.40868031,2.771012781,20.67782289,4.611126498,0.388510996,1.936563166,0.341516647
2295-PP-16,562.1,CAT-6,24.23263328,VGO2,95.60960051,27.69289176,76.38617473,0.075791108,1.495383996,0.877777683,2.52204306,0.83255289,16.31454448,3.132482271,0.403760421,3.540434713,2.72271754,5.971243204,2.821212977,0.215685469,,40.92562981,34.11237162,13.77899999,9.834825275,1.348173296,4.970995848,35.95463396,34.10788144,31.58583838,15.2712939,3.078443491,20.52893908,4.478453195,0.391010954,1.906233679,0.324601459
2295-PP-13,562.4,CAT-6,25.29510961,VGO2,95.71475474,28.68229342,78.16948353,0.077636657,1.449167514,0.831881869,2.550372072,0.849414867,17.05467501,3.176284671,0.436203248,3.78593955,2.871590557,6.29354391,3.031023618,0.257454045,,42.66518759,34.21357123,11.35186856,10.4786479,1.290724713,4.909058111,37.75612947,35.84459876,33.29422669,16.23955168,3.284771081,21.03424733,4.661888685,0.387544191,1.981416832,0.339976073
2295-PP-15,563.6,CAT-6,33.89830508,VGO2,95.01466004,36.78008475,79.79749759,0.066882002,1.124904726,0.63099637,2.375309547,0.765860893,17.58273224,3.225730999,0.460020242,4.162593415,3.056367176,6.67942978,3.329981448,0.186857422,,43.64766626,34.36653454,12.07610256,8.126399845,1.783296787,4.198092644,39.44957362,37.37327103,34.99796148,17.41522924,4.033263322,24.05137195,4.900015371,0.383539584,2.070671665,0.430297238
2295-PP-12,562.8,CAT-6,24.82876712,VGO2,95.84600336,22.53424658,81.09838937,0.090065395,1.705524049,0.96178418,2.858353294,0.95817298,17.41913909,3.377897064,0.465274988,3.757140145,2.827717489,6.280403627,3.007391689,0.24849845,,43.95736244,35.45792828,11.24645832,7.655152304,1.683098655,5.615726918,38.34163552,36.39864378,33.54029049,16.1211514,3.184208525,19.04522698,4.350112579,0.389575377,1.859264362,0.338005125
2295-PP-19,562.3,CAT-7,24.46982055,VGO2,96.58732445,17.06264274,73.06041084,0.075216965,1.302996411,0.889431205,2.315711251,0.680278321,13.76239829,2.421743588,0.334573577,3.309275805,2.416987016,5.540826388,2.644331653,0.173335357,0,35.86710583,35.95302622,14.70452575,12.23506341,1.240278795,4.583355832,31.28375,30.16286576,27.84715451,14.08475622,2.789557171,21.19389983,5.299250043,0.393391714,2.287949234,0.341178351
2295-PP-20,561.6,CAT-7,24.23263328,VGO2,96.39573205,16.25928918,72.46114142,0.072541395,1.31831733,0.895478493,2.311230877,0.670571987,13.55267377,2.568379224,0.329520883,3.295854376,2.397487368,5.499962657,2.636533129,0.180752194,0,35.72930369,35.51868974,14.78106083,12.75779775,1.21314799,4.597568096,31.13173559,29.87449438,27.5632635,14.01058972,2.765358205,21.17302761,5.01380307,0.392557541,2.141413777,0.339460788
2295-PP-17,562.1,CAT-7,23.69668246,VGO2,95.7562965,22.25876777,76.75378387,0.089608067,1.440520363,0.864742315,2.60121267,0.880664386,16.51421856,3.193706821,0.435794561,3.636596904,2.567159631,6.105305249,2.909127218,0.169150258,0,41.407807,34.04173224,14.07007818,9.176137945,1.30424463,4.996083415,36.41172358,34.50277048,31.90155782,15.38733926,3.222941132,19.64495236,4.396537991,0.396774591,1.911667411,0.312827046
